Feature_Name,Score
age,175.1224325777577
ethnicity,69.30763125024292
result,33.27597370212501
Class/ASD,16.210143197558715
jundice,15.810645391679504
A9_Score,13.377805160410121
A4_Score,13.335997960167683
A6_Score,6.555465285122706
A3_Score,4.9380971940626575
A10_Score,4.175036115016406
A5_Score,2.859845076308872
gender,2.638083658255148
A2_Score,2.1400235024018563
A1_Score,1.8681846598764784
A8_Score,0.29989705733349037
contry_of_res,0.15423419846410544
used_app_before,0.14917328457295825
relation,0.1143126830827147
A7_Score,0.030392064683105943
age_desc,
